№;Заголовок;Цена;Производитель;Модель;Процессор;Видеокарта;ОВУ;ОЗУ;Диаг.;Диск;ПЗУ;Код конфигурации;Состояние;Описание;Контактное лицо;Тип продавца;Адрес;Ссылка на объявление
864;Ноутбук asus X555LA (Core i5);15999;ASUS;X555L;Intel Core i5-4210U 1.7 ГГц;Intel HD Graphics 4400;;;;SSD;;;Б/у;Ноутбук ASUS X555LA-XO019H;Пользователь;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_asus_x555la_core_i5_3870688488
865;Ноутбук Acer С Гарантией;9000;Acer;;;;;;;HDD;;;Б/у;B наличии oгpомный выбop ноутбуков.;Пользователь;Компания;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_acer_s_garantiey_2756328937
866;Ноутбук Для Работы С Гарантией;9000;DEXP;;;;;;;HDD;;;Б/у;В наличии oгpoмный выбор ноутбуков.;Пользователь;Компания;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_dlya_raboty_s_garantiey_2884417206
867;Ноутбук Lenovo B570e;12000;Lenovo;;;;;;;HDD;;;Б/у;"Hoутбук Lenovo В570е 15.6""";"""Проф Принт"" - продажа оргтехники и расходников!!!";Компания;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_lenovo_b570e_4164697483
868;Np350v5c (крышечки разъемы шлейфы кулер);10;Samsung;NP350V5C;Intel Core i5-3210M 2.5 ГГц;Intel HD Graphics 4000;;;;HDD;;;Б/у;Разбор ноутбука Samsung np350v5c.;Кроссервис;Компания;Нет;https://www.avito.ru/omsk/noutbuki/np350v5c_kryshechki_razemy_shleyfy_kuler_3529996407
869;Samsung np305e5a (разбор);10;Samsung;305E5A;AMD A4 3305M 1.9 ГГц;ATI Radeon HD 6470M;;;;HDD;;;Б/у;Разбор ноутбука Samsung np305e5a.;Кроссервис;Компания;Нет;https://www.avito.ru/omsk/noutbuki/samsung_np305e5a_razbor_3530415877
870;Asus k50 (разбор);10;ASUS;K50AF;AMD Athlon II M340 2.2 ГГц;ATI Mobility Radeon HD 5145;;;;HDD;;;Б/у;Разбор ноутбука Asus k50af.;Кроссервис;Компания;Нет;https://www.avito.ru/omsk/noutbuki/asus_k50_razbor_3306594324
871;Ноутбук asus;5000;ASUS;;;;;;;HDD+SSD;;;Б/у;Рабочийесли что то не правильно написала все на фотоесть;ольга;Частное лицо;Нет;https://www.avito.ru/omsk/noutbuki/noutbuk_asus_3126900795
872;Lenovo s10 на запчасти;500;4;;;;;;;;;;;Нет;Пользователь;Компания;Нет;https://www.avito.ru/omsk/noutbuki/lenovo_s10_na_zapchasti_1705535556
873;Ноутбук eMachines;4900;eMachines;E725-423G25Mi;Intel Pentium T4200 2 ГГц;Intel GMA 4500MHD;;;;HDD;;;Б/у;Рабочий целый ноутбук смотреть в Нефтяниках Работа от зарядки;Пользователь;Частное лицо;Омская обл. Омск Советский округ;https://www.avito.ru/omsk/noutbuki/noutbuk_emachines_4282783174
